period,coef,se,ci_lower,ci_upper
-8.0,-3.25151124721744,3.700490927754723,-10.504473465616698,4.001450971181817
-7.0,-1.144400697633148,4.4692108679042155,-9.904053998725411,7.615252603459115
-6.0,-0.8067750369206285,2.99592546822567,-6.6787889546429415,5.065238880801685
-5.0,-2.7450742530805488,2.6685403691890617,-7.97541337669111,2.485264870530012
-4.0,0.20465813766738092,2.416069177866905,-4.530837450951753,4.940153726286515
-3.0,-2.355827867937314,3.0034488903790724,-8.242587693080296,3.530931957205668
-2.0,-0.5365746266822813,2.5567361875998578,-5.547777554378002,4.47462830101344
-1.0,0.0,0.0,0.0,0.0
0.0,0.3305741570689727,2.7436432348801145,-5.046966583296052,5.708114897433997
1.0,-1.549931803623629,2.969420164992034,-7.369995327008016,4.270131719760758
2.0,-1.5942746867397133,3.9289112318103014,-9.294940701087905,6.106391327608478
3.0,-0.6312501844700413,2.8934382095649647,-6.302389075217373,5.0398887062772895
4.0,-2.84012139415081,2.8963537229484864,-8.516974691129843,2.8367319028282227
5.0,-2.2857631775299785,2.838769613263909,-7.8497516195272405,3.2782252644672836
6.0,-3.19453787564161,3.6393391700140616,-10.32764264886917,3.9385668975859507
7.0,-5.061511494207128,3.493190786996842,-11.908165436720939,1.785142448306683
8.0,-6.945446680229285,3.168780671466561,-13.156256796303744,-0.7346365641548251
9.0,-4.8113588072699125,3.169512023276637,-11.023602372892121,1.400884758352296
10.0,-8.287761400184216,3.77274984072796,-15.682351088011018,-0.8931717123574154
